Edge_name	Start	End	X	Y	Sample	Edge_num
edge_1413l	0	3263168	not real	not real	GAC8	1413
edge_694l	0	2874243	not real	not real	GAC3	694
bin.595_13	0	6320499	not real	not real	GAC7	bin.595_13
edge_5304l	0	4225704	not real	not real	GAC5	5304
edge_245l	0	5702873	not real	not real	GAC7	245
edge_1l_bin.732	0	4081707	not real	not real	GAC7	bin.732_1
edge_5308l	0	5068655	not real	not real	GAC3	5308
edge_2l_5-T2	0	3167848	not real	not real	GAC5	bin.222_2
edge_397l	0	2465175	not real	not real	GAC7	397
edge_4050l	0	2064612	not real	not real	GAC3	4050
edge_11047l	0	1186698	not real	not real	GAC7	11047
bin.353_1	0	4366367	not real	not real	GAC5	bin.353_1
edge_2150l	0	3709368	not real	not real	GAC3	2150
edge_1115l	0	2931509	not real	not real	GAC2	1115
edge_1l_bin.531	0	2325461	not real	not real	GAC5	bin.531_1
edge_11397l	0	1708409	not real	not real	GAC3	11397
edge_8l_8-carbon	0	2987530	not real	not real	GAC0	bin.402_8
edge_2304l	0	2929374	not real	not real	GAC8	2304
edge_3l_bin.472	0	5073061	not real	not real	GAC6	bin.472_3
bin.516_1	0	2465741	not real	not real	GAC7	bin.516_1
edge_632l	0	2935798	not real	not real	GAC3	632
bin.229_2	0	2889241	not real	not real	GAC5	bin.229_2
bin.1152_1	0	5072550	not real	not real	GAC7	bin.1152_1
edge_466l	0	3646691	not real	not real	GAC1	466
bin.526_1	0	3237686	not real	not real	GAC7	bin.526_1
edge_1l_bin.719	0	4597035	not real	not real	GAC4	bin.719_1
edge_11l_bin.670	0	4230858	not real	not real	GAC3	bin.670_11
edge_2l_bin.878	0	3863166	not real	not real	GAC3	bin.878_2
edge_3l_bin.547	0	6878936	not real	not real	GAC2	bin.547_3
bin.666_1	0	3192619	not real	not real	GAC2	bin.666_1
edge_1l_1-T1	0	2846655	not real	not real	GAC8	bin.279
edge_1l_bin.778	0	4234704	not real	not real	GAC4	bin.778_1
bin.525_1	0	3025777	not real	not real	GAC2	bin.525_1
edge_178l	0	6097847	not real	not real	GAC9	178
edge_3l_1-T1	0	3083914	not real	not real	GAC8	bin.944
edge_1852l	0	3865706	not real	not real	GAC2	1852
edge_1l_bin.888	0	7214747	not real	not real	GAC6	bin.888_1
edge_2l_1-T1	0	3091422	not real	not real	GAC8	bin.1065
edge_1038l	0	5196176	not real	not real	GAC2	1038
edge_4784l	0	3817414	not real	not real	GAC0	4784
bin.616_1	0	3204000	not real	not real	GAC6	bin.616_1
bin.405_1	0	3152158	not real	not real	GAC2	bin.405_1
edge_3l_bin.914	0	6791239	not real	not real	GAC3	bin.914_3
edge_4180l	0	6894943	not real	not real	GAC3	4180
edge_5322l	0	3646663	not real	not real	GAC2	5322
edge_3791l	0	1279783	not real	not real	GAC5	3791
edge_5562l	0	4367691	not real	not real	GAC8	5562
edge_3120l	0	1186580	not real	not real	GAC6	3120
bin.867_1	0	1903747	not real	not real	GAC6	bin.867_1
edge_13560l	0	1098779	not real	not real	GAC3	13560
edge_3901l	0	5415815	not real	not real	GAC8	3901
edge_3168l	0	5073019	not real	not real	GAC5	3168
bin.182_6	0	3035259	not real	not real	GAC5	bin.182_6
bin.1232_1	0	6221462	not real	not real	GAC7	bin.1232_1
edge_13374l	0	3646628	not real	not real	GAC3	13374
edge_1l_bin.1013	0	1971299	not real	not real	GAC3	bin.1013_1
bin.191_3	0	6456257	not real	not real	GAC2	bin.191_3
edge_309l	0	4063652	not real	not real	GAC6	309
edge_1l_bin.747	0	3175391	not real	not real	GAC3	bin.747_1
edge_11871l	0	3395820	not real	not real	GAC2	11871
edge_2l_bin.915	0	2323014	not real	not real	GAC7	bin.915_2
bin.442_1	0	2875528	not real	not real	GAC7	bin.442_1
edge_14643l	0	1095357	not real	not real	GAC3	14643
bin.596_1	0	3260599	not real	not real	GAC5	bin.596_1
edge_3906l	0	1186613	not real	not real	GAC5	3906
edge_288l	0	4045482	not real	not real	GAC7	288
edge_3344l	0	1284052	not real	not real	GAC6	3344
edge_2268l	0	5073355	not real	not real	GAC6	2268
edge_24942l	0	1620291	not real	not real	GAC8	24942
edge_1565l	0	4051831	not real	not real	GAC8	1565
edge_10l_bin.771	0	2154841	not real	not real	GAC3	bin.771_10
edge_1l_bin.73	0	4993934	not real	not real	GAC4	bin.73_1
bin.113_1	0	3646665	not real	not real	GAC6	bin.113_1
edge_2932l	0	3646456	not real	not real	GAC6	2932
edge_6081l	0	3646764	not real	not real	GAC8	6081
edge_419l	0	3110780	not real	not real	GAC4	419
edge_4l_bin.666	0	8229280	not real	not real	GAC4	bin.666_4
bin.618_2	0	3866638	not real	not real	GAC6	bin.618_2
edge_12l_1-T1	0	3286895	not real	not real	GAC8	bin.941
edge_2748l	0	1099318	not real	not real	GAC3	2748
edge_4966l	0	2409516	not real	not real	GAC3	4966
edge_690l	0	4727690	not real	not real	GAC2	690
edge_1636l	0	3646675	not real	not real	GAC5	1636
edge_1330l	0	4521528	not real	not real	GAC3	1330
edge_5287l	0	1398011	not real	not real	GAC4	5287
edge_1l_bin.302	0	2514379	not real	not real	GAC6	bin.302_1
edge_1l_9-gac	0	3390321	not real	not real	GAC3	bin.90_1
edge_4282l	0	4234151	not real	not real	GAC0	4282
edge_11l_bin.837	0	4111731	not real	not real	GAC7	bin.837_11
edge_4053l	0	1649193	not real	not real	GAC4	4053
edge_3l_bin.780	0	3111328	not real	not real	GAC3	bin.780_3
edge_476l	0	3118502	not real	not real	GAC3	476
edge_1384l	0	3312699	not real	not real	GAC3	1384
edge_14392l	0	1279697	not real	not real	GAC7	14392
bin.1128_3	0	3239546	not real	not real	GAC8	bin.1128_3
edge_1770l	0	8282245	not real	not real	GAC6	1770
bin.663_1	0	4366221	not real	not real	GAC6	bin.663_1
bin.756_6	0	3256205	not real	not real	GAC7	bin.756_6
bin.228_38	0	3769889	not real	not real	GAC4	bin.228_38
bin.321_1	0	3162915	not real	not real	GAC4	bin.321_1
edge_7443l	0	3646825	not real	not real	GAC7	7443
edge_595l	0	3117177	not real	not real	GAC2	595
bin.252_9	0	1905609	not real	not real	GAC5	bin.252_9
edge_2786l	0	3467754	not real	not real	GAC4	2786
edge_2l_bin.257	0	3287367	not real	not real	GAC4	bin.257_2
edge_13052l	0	2193975	not real	not real	GAC9	13052
edge_7970l	0	3698791	not real	not real	GAC3	7970
edge_10l	0	2922228	not real	not real	GAC0	10
edge_1044l	0	4194985	not real	not real	GAC2	1044
edge_1113l	0	3149124	not real	not real	GAC7	1113
edge_3l_bin.761	0	4829998	not real	not real	GAC2	bin.761_3
edge_5178l	0	3265489	not real	not real	GAC9	5178
