gc_content gc_skew gc_culm
0.571 -25.7443082311734 -25.7443082311734
0.516 -7.36434108527132 -33.1086493164447
0.541 -9.42698706099815 -42.5356363774428
0.532 -3.00751879699248 -45.5431551744353
0.557 -8.07899461400359 -53.6221497884389
0.525 -8.19047619047619 -61.8126259789151
0.512 -7.8125 -69.6251259789151
0.555 -7.38738738738739 -77.0125133663025
0.51 -9.80392156862745 -86.8164349349299
0.513 -17.7387914230019 -104.555226357932
0.501 -5.38922155688623 -109.944447914818
0.522 -4.59770114942529 -114.542149064243
0.503 -10.5367793240557 -125.078928388299
0.526 0.760456273764259 -124.318472114535
0.512 -10.15625 -134.474722114535
0.57 -6.66666666666667 -141.141388781201
0.513 -12.280701754386 -153.422090535587
0.553 -5.60578661844485 -159.027877154032
0.57 -7.71929824561404 -166.747175399646
0.539 -2.04081632653061 -168.787991726177
0.538 -6.69144981412639 -175.479441540303
0.522 0.766283524904215 -174.713158015399
0.554 2.88808664259928 -171.8250713728
0.609 7.38916256157635 -164.435908811223
0.594 0.336700336700337 -164.099208474523
0.55 -9.09090909090909 -173.190117565432
0.584 -5.47945205479452 -178.669569620227
0.566 -9.89399293286219 -188.563562553089
0.568 -3.52112676056338 -192.084689313652
0.602 0 -192.084689313652
0.589 -13.4125636672326 -205.497252980885
0.623 -10.4333868378812 -215.930639818766
0.561 -3.74331550802139 -219.673955326788
0.562 -4.98220640569395 -224.656161732482
0.589 -3.56536502546689 -228.221526757948
0.594 -6.06060606060606 -234.282132818554
0.645 -4.8062015503876 -239.088334368942
0.611 -3.43698854337152 -242.525322912314
0.555 -5.22522522522523 -247.750548137539
0.621 2.41545893719807 -245.335089200341
0.627 -8.13397129186603 -253.469060492207
0.575 0.173913043478261 -253.295147448728
0.544 -11.0294117647059 -264.324559213434
0.601 4.15973377703827 -260.164825436396
0.675 -9.03703703703704 -269.201862473433
0.579 -7.08117443868739 -276.283036912121
0.611 -5.72831423895254 -282.011351151073
0.606 -1.65016501650165 -283.661516167575
0.529 -19.0926275992439 -302.754143766819
0.373 -2.41286863270777 -305.167012399526
0.375 -9.33333333333333 -314.50034573286
0.394 15.2284263959391 -299.271919336921
0.387 -0.258397932816537 -299.530317269737
0.429 3.03030303030303 -296.500014239434
0.563 3.37477797513321 -293.125236264301
