gc_content gc_skew gc_culm
0.522 -21.0727969348659 -21.0727969348659
0.563 -10.4795737122558 -31.5523706471217
0.496 -20.1612903225806 -51.7136609697023
0.529 -20.226843100189 -71.9405040698913
0.548 -14.963503649635 -86.9040077195264
0.544 -9.19117647058824 -96.0951841901146
0.592 -20.2702702702703 -116.365454460385
0.645 -19.3798449612403 -135.745299421625
0.632 -11.7088607594937 -147.454160181119
0.664 -13.2530120481928 -160.707172229312
0.575 -4.69565217391304 -165.402824403225
0.613 -9.9510603588907 -175.353884762115
0.596 -8.05369127516779 -183.407576037283
0.56 -3.57142857142857 -186.979004608712
0.573 -2.96684118673647 -189.945845795448
0.544 -12.5 -202.445845795448
0.591 -4.23011844331641 -206.675964238765
0.579 -6.39032815198618 -213.066292390751
0.587 -10.732538330494 -223.798830721245
0.602 -13.2890365448505 -237.087867266095
0.595 -12.2689075630252 -249.356774829121
0.624 -0.641025641025641 -249.997800470146
0.595 -4.87394957983193 -254.871750049978
0.607 -6.75453047775947 -261.626280527738
0.629 -3.97456279809221 -265.60084332583
0.625 0.8 -264.80084332583
0.583 0.514579759862779 -264.286263565967
0.636 -2.20125786163522 -266.487521427602
0.591 -1.52284263959391 -268.010364067196
0.605 2.14876033057851 -265.861603736618
0.55 -6.18181818181818 -272.043421918436
0.643 -8.55365474339036 -280.597076661826
0.607 -7.0840197693575 -287.681096431184
0.551 1.99637023593466 -285.684726195249
0.592 -5.06756756756757 -290.752293762817
0.606 -0.33003300330033 -291.082326766117
0.617 0.486223662884927 -290.596103103232
0.648 4.32098765432099 -286.275115448911
0.598 0.334448160535117 -285.940667288376
0.559 -5.90339892665474 -291.844066215031
0.591 -18.4433164128596 -310.28738262789
0.617 -5.3484602917342 -315.635842919624
0.645 -2.32558139534884 -317.961424314973
0.575 -9.91304347826087 -327.874467793234
0.611 -4.74631751227496 -332.620785305509
0.577 1.55979202772964 -331.060993277779
0.628 -6.68789808917197 -337.748891366951
0.637 -11.4599686028257 -349.208859969777
0.568 -8.45070422535211 -357.659564195129
0.594 -0.673400673400673 -358.33296486853
0.619 -0.484652665589661 -358.81761753412
0.607 -6.42504118616145 -365.242658720281
0.606 3.96039603960396 -361.282262680677
0.544 2.20588235294118 -359.076380327736
0.498 -15.2610441767068 -374.337424504443
0.558 -2.5089605734767 -376.846385077919
0.642 -10.5919003115265 -387.438285389446
0.647 -4.79134466769706 -392.229630057143
0.578 -7.95847750865052 -400.188107565793
0.653 -9.34150076569678 -409.52960833149
0.632 0.316455696202532 -409.213152635288
0.524 -4.19847328244275 -413.41162591773
0.538 -4.46096654275093 -417.872592460481
0.639 -10.7981220657277 -428.670714526209
0.582 -10.9965635738832 -439.667278100092
0.543 -4.97237569060773 -444.6396537907
0.596 -15.1006711409396 -459.74032493164
0.664 -12.6506024096386 -472.390927341278
0.657 -3.80517503805175 -476.19610237933
0.625 -7.84 -484.03610237933
0.575 -3.65217391304348 -487.688276292373
0.58 -11.3793103448276 -499.067586637201
0.661 -4.08472012102874 -503.15230675823
0.575 -11.304347826087 -514.456654584317
0.569 -10.0175746924429 -524.47422927676
0.626 -6.70926517571885 -531.183494452478
0.664 -21.9879518072289 -553.171446259707
0.667 -16.9415292353823 -570.11297549509
0.672 -13.0952380952381 -583.208213590328
0.661 -9.53101361573374 -592.739227206062
0.672 -16.6666666666667 -609.405893872728
0.63 -3.17460317460317 -612.580497047331
0.632 -8.54430379746835 -621.1248008448
0.614 1.95439739413681 -619.170403450663
0.604 -0.33112582781457 -619.501529278477
0.611 2.7823240589198 -616.719205219558
0.609 -2.13464696223317 -618.853852181791
0.616 -11.038961038961 -629.892813220752
0.591 -8.29103214890017 -638.183845369652
0.635 -6.45669291338583 -644.640538283038
0.631 -3.01109350237718 -647.651631785415
0.624 -8.01282051282051 -655.664452298236
0.519 -10.2119460500963 -665.876398348332
0.564 2.4822695035461 -663.394128844786
0.619 -6.30048465266559 -669.694613497451
0.597 -1.50753768844221 -671.202151185894
0.637 2.35478806907378 -668.84736311682
0.621 -4.02576489533011 -672.87312801215
0.658 -2.73556231003039 -675.60869032218
0.639 1.40845070422535 -674.200239617955
0.654 -8.25688073394495 -682.4571203519
0.638 1.88087774294671 -680.576242608953
0.606 8.91089108910891 -671.665351519844
0.533 -6.94183864915572 -678.607190169
0.579 -10.1899827288428 -688.797172897843
0.588 -15.6462585034014 -704.443431401244
0.561 -16.9340463458111 -721.377477747055
0.53 -6.41509433962264 -727.792572086678
0.553 -7.05244122965642 -734.845013316334
0.592 -14.1891891891892 -749.034202505523
0.567 -12.8747795414462 -761.90898204697
0.506 -9.48616600790514 -771.395148054875
0.548 -14.2335766423358 -785.628724697211
0.535 -11.0280373831776 -796.656762080388
0.51 0.392156862745098 -796.264605217643
0.588 -4.42176870748299 -800.686373925126
0.58 -13.7931034482759 -814.479477373402
0.667 -9.14542728635682 -823.624904659759
0.654 -14.6788990825688 -838.303803742328
0.502 -12.7490039840637 -851.052807726391
0.591 -4.56852791878173 -855.621335645173
0.598 -3.67892976588629 -859.300265411059
0.607 -2.14168039538715 -861.441945806446
0.566 -4.59363957597173 -866.035585382418
0.617 -2.75526742301459 -868.790852805433
0.593 -4.89038785834739 -873.68124066378
0.63 -0.634920634920635 -874.316161298701
0.584 -1.71232876712329 -876.028490065824
0.617 8.26580226904376 -867.76268779678
0.615 -0.48780487804878 -868.250492674829
0.543 6.44567219152855 -861.804820483301
0.427 6.79156908665105 -855.013251396649
0.521 -5.95009596928983 -860.963347365939
0.576 5.90277777777778 -855.060569588162
0.471 1.48619957537155 -853.57437001279
0.467 -0.214132762312634 -853.788502775103
0.484 -13.6363636363636 -867.424866411466
0.608 -12.5 -879.924866411466
0.596 -5.03355704697987 -884.958423458446
0.613 -10.9298531810767 -895.888276639523
0.554 -21.2996389891697 -917.187915628693
0.579 -6.73575129533679 -923.923666924029
0.6 -8.33333333333333 -932.257000257363
0.653 -8.42266462480858 -940.679664882171
0.576 -7.98611111111111 -948.665775993282
0.535 -3.17757009345794 -951.84334608674
0.474 -5.90717299578059 -957.750519082521
0.495 -9.8989898989899 -967.649508981511
0.577 -12.6516464471404 -980.301155428651
0.556 -2.87769784172662 -983.178853270378
0.584 -14.041095890411 -997.219949160789
0.646 -12.0743034055728 -1009.29425256636
0.627 -15.4704944178628 -1024.76474698422
0.621 -10.4669887278583 -1035.23173571208
0.636 -8.17610062893082 -1043.40783634101
0.619 -15.670436187399 -1059.07827252841
0.629 -1.4308426073132 -1060.50911513573
0.608 -2.63157894736842 -1063.14069408309
0.64 0.9375 -1062.20319408309
0.619 -3.7156704361874 -1065.91886451928
0.637 -0.784929356357928 -1066.70379387564
0.616 2.27272727272727 -1064.43106660291
0.603 -6.79933665008292 -1071.230403253
0.571 -9.28196147110333 -1080.5123647241
0.5 -8.8 -1089.3123647241
0.605 -6.77685950413223 -1096.08922422823
0.62 -6.45161290322581 -1102.54083713146
0.636 -0.628930817610063 -1103.16976794907
0.527 1.70777988614801 -1101.46198806292
0.629 -3.02066772655008 -1104.48265578947
0.551 -1.99637023593466 -1106.4790260254
0.502 -8.76494023904382 -1115.24396626445
0.566 -12.0141342756184 -1127.25810054007
0.581 -12.9087779690189 -1140.16687850908
0.595 -16.6386554621849 -1156.80553397127
0.608 -2.30263157894737 -1159.10816555022
0.58 -4.82758620689655 -1163.93575175711
0.539 -8.34879406307978 -1172.28454582019
