edge_3683l	barrnap:0.9	rRNA	163	1646	0	-	.	ID=AAHFOCED_00001;locus_tag=AAHFOCED_00001;product=16S ribosomal RNA
edge_3683l	Prodigal:002006	CDS	1853	2281	.	-	0	ID=AAHFOCED_00002;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00002;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	2286	4814	.	-	0	ID=AAHFOCED_00003;eC_number=5.6.2.2;Name=gyrA;db_xref=COG:COG0188;gene=gyrA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P20831;locus_tag=AAHFOCED_00003;product=DNA gyrase subunit A
edge_3683l	Prodigal:002006	CDS	4831	6807	.	-	0	ID=AAHFOCED_00004;eC_number=5.6.2.2;Name=gyrB;db_xref=COG:COG0187;gene=gyrB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q839Z1;locus_tag=AAHFOCED_00004;product=DNA gyrase subunit B
edge_3683l	Prodigal:002006	CDS	6949	8112	.	+	0	ID=AAHFOCED_00005;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00005;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	8133	8705	.	+	0	ID=AAHFOCED_00006;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00006;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	8733	11669	.	-	0	ID=AAHFOCED_00007;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00007;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	11692	12099	.	-	0	ID=AAHFOCED_00008;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00008;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	12143	12532	.	-	0	ID=AAHFOCED_00009;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00009;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	13092	13766	.	-	0	ID=AAHFOCED_00010;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00010;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	14599	16113	.	+	0	ID=AAHFOCED_00011;Name=comM;db_xref=COG:COG0606;gene=comM;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P45049;locus_tag=AAHFOCED_00011;product=Competence protein ComM
edge_3683l	Prodigal:002006	CDS	16258	16713	.	+	0	ID=AAHFOCED_00012;Name=infC;db_xref=COG:COG0290;gene=infC;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q5SKU2;locus_tag=AAHFOCED_00012;product=Translation initiation factor IF-3
edge_3683l	Prodigal:002006	CDS	16713	16907	.	+	0	ID=AAHFOCED_00013;Name=rpmI;gene=rpmI;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q2YTB0;locus_tag=AAHFOCED_00013;product=50S ribosomal protein L35
edge_3683l	Prodigal:002006	CDS	16911	17255	.	+	0	ID=AAHFOCED_00014;Name=rplT;db_xref=COG:COG0292;gene=rplT;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:A0QYU6;locus_tag=AAHFOCED_00014;product=50S ribosomal protein L20
edge_3683l	Prodigal:002006	CDS	17645	18526	.	-	0	ID=AAHFOCED_00015;eC_number=3.1.26.4;Name=rnhA_1;gene=rnhA_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00042;locus_tag=AAHFOCED_00015;product=Ribonuclease H
edge_3683l	Aragorn:001002	tRNA	18536	18612	.	-	.	ID=AAHFOCED_00016;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00016;product=tRNA-Pro(ggg)
edge_3683l	Prodigal:002006	CDS	18795	19448	.	-	0	ID=AAHFOCED_00017;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00017;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	19550	19753	.	+	0	ID=AAHFOCED_00018;Name=rpmB;db_xref=COG:COG0227;gene=rpmB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q6NCH9;locus_tag=AAHFOCED_00018;product=50S ribosomal protein L28
edge_3683l	Prodigal:002006	CDS	19822	20460	.	-	0	ID=AAHFOCED_00019;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00019;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	20463	21056	.	-	0	ID=AAHFOCED_00020;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00020;product=hypothetical protein
