gc_content gc_skew gc_culm
0.704 -25.8522727272727 -25.8522727272727
0.695 -35.5395683453237 -61.3918410725965
0.671 -25.7824143070045 -87.1742553796009
0.597 -5.52763819095477 -92.7018935705557
0.609 2.13464696223317 -90.5672466083225
0.604 -7.6158940397351 -98.1831406480576
0.619 -12.4394184168013 -110.622559064859
0.609 -5.09031198686371 -115.712871051723
0.597 -12.5628140703518 -128.275685122074
0.588 -9.52380952380952 -137.799494645884
0.623 1.4446227929374 -136.354871852947
0.635 1.10236220472441 -135.252509648222
0.62 -5.48387096774194 -140.736380615964
0.616 -8.44155844155844 -149.177939057523
0.62 -4.19354838709677 -153.371487444619
0.609 -11.9868637110016 -165.358351155621
0.625 -3.36 -168.718351155621
0.631 -5.86370839936609 -174.582059554987
0.631 -6.49762282091918 -181.079682375906
0.637 -4.86656200941915 -185.946244385325
0.592 -8.44594594594595 -194.392190331271
0.583 0.171526586620926 -194.22066374465
0.596 -2.68456375838926 -196.90522750304
0.636 -0.943396226415094 -197.848623729455
0.617 -0.486223662884927 -198.33484739234
0.618 -4.53074433656958 -202.865591728909
0.616 -7.46753246753247 -210.333124196442
0.661 -9.83358547655068 -220.166709672992
0.623 -14.2857142857143 -234.452423958707
0.61 -0.327868852459016 -234.780292811166
0.644 -3.41614906832298 -238.196441879489
0.681 -4.84581497797357 -243.042256857462
0.647 -1.39103554868624 -244.433292406148
0.648 -8.02469135802469 -252.457983764173
0.619 -8.88529886914378 -261.343282633317
0.587 -4.59965928449744 -265.942941917814
0.592 3.04054054054054 -262.902401377274
0.599 -12.8547579298831 -275.757159307157
0.622 -5.14469453376206 -280.901853840919
0.582 9.27835051546392 -271.623503325455
0.595 -3.19327731092437 -274.816780636379
0.588 -3.40136054421769 -278.218141180597
0.614 -0.325732899022801 -278.54387407962
0.612 0.326797385620915 -278.217076693999
0.631 6.49762282091918 -271.71945387308
0.599 2.17028380634391 -269.549170066736
0.604 -5.29801324503311 -274.847183311769
0.649 -12.1725731895223 -287.019756501291
0.651 -12.7496159754224 -299.769372476714
0.624 -11.5384615384615 -311.307834015175
0.661 6.20272314674735 -305.105110868428
0.68 2.05882352941176 -303.046287339016
0.646 -1.85758513931889 -304.903872478335
0.666 -9.00900900900901 -313.912881487344
0.618 0.970873786407767 -312.942007700936
0.655 -5.0381679389313 -317.980175639868
0.626 -2.23642172523962 -320.216597365107
0.569 -2.98769771528998 -323.204295080397
0.61 0.655737704918033 -322.548557375479
0.679 0.441826215022091 -322.106731160457
0.695 0.719424460431655 -321.387306700026
0.7 0.857142857142857 -320.530163842883
0.728 3.57142857142857 -316.958735271454
0.719 -1.80806675938804 -318.766802030842
0.68 -1.17647058823529 -319.943272619077
0.687 -6.55021834061135 -326.493490959689
0.577 1.90641247833622 -324.587078481353
0.603 -1.82421227197347 -326.411290753326
0.641 4.21216848673947 -322.199122266587
0.619 0.484652665589661 -321.714469600997
0.604 -0.662251655629139 -322.376721256626
0.599 -4.84140233722871 -327.218123593855
0.596 -15.1006711409396 -342.318794734794
0.599 -3.17195325542571 -345.49074799022
0.657 2.28310502283105 -343.207642967389
0.617 6.645056726094 -336.562586241295
0.622 1.60771704180064 -334.954869199494
0.628 4.45859872611465 -330.49627047338
0.607 -4.44810543657331 -334.944375909953
0.636 0.628930817610063 -334.315445092343
0.609 -14.6141215106732 -348.929566603016
0.574 -11.1498257839721 -360.079392386988
0.62 -7.09677419354839 -367.176166580537
0.588 -1.70068027210884 -368.876846852646
0.578 -0.692041522491349 -369.568888375137
0.609 -3.44827586206897 -373.017164237206
0.609 -7.7175697865353 -380.734734023741
0.627 -7.49601275917065 -388.230746782912
0.649 -2.61941448382126 -390.850161266733
0.66 -6.96969696969697 -397.81985823643
0.628 -4.45859872611465 -402.278456962545
0.606 1.65016501650165 -400.628291946043
0.636 -7.54716981132075 -408.175461757364
0.64 -0.3125 -408.487961757364
0.611 -1.80032733224223 -410.288289089606
0.617 -5.3484602917342 -415.63674938134
0.629 -7.15421303656598 -422.790962417906
0.62 -11.2903225806452 -434.081284998551
0.636 -5.66037735849057 -439.741662357042
0.644 -7.7639751552795 -447.505637512321
0.68 -1.17647058823529 -448.682108100557
0.593 -4.89038785834739 -453.572495958904
0.638 4.07523510971787 -449.497260849186
0.646 6.19195046439629 -443.30531038479
0.651 4.45468509984639 -438.850625284944
0.652 6.44171779141104 -432.408907493533
0.65 -1.23076923076923 -433.639676724302
0.667 9.44527736131934 -424.194399362982
0.682 7.03812316715543 -417.156276195827
0.586 -15.358361774744 -432.514637970571
0.626 6.38977635782748 -426.124861612744
0.639 11.4241001564945 -414.700761456249
0.577 -9.18544194107452 -423.886203397324
0.611 14.2389525368249 -409.647250860499
0.588 3.06122448979592 -406.586026370703
0.578 14.5328719723183 -392.053154398384
0.652 -3.68098159509202 -395.734135993476
0.599 9.84974958263773 -385.884386410839
0.605 9.75206611570248 -376.132320295136
0.577 4.67937608318891 -371.452944211947
0.587 -4.25894378194208 -375.711887993889
0.571 -1.92644483362522 -377.638332827515
0.579 -10.5354058721934 -388.173738699708
0.596 -1.00671140939597 -389.180450109104
0.591 -9.30626057529611 -398.4867106844
0.62 5.48387096774194 -393.002839716658
0.603 -2.81923714759536 -395.822076864254
0.601 -1.16472545757072 -396.986802321824
0.598 3.34448160535117 -393.642320716473
0.552 -6.88405797101449 -400.526378687488
0.653 -13.323124042879 -413.849502730367
0.699 13.3047210300429 -400.544781700324
0.601 0.831946755407654 -399.712834944916
0.629 2.38473767885533 -397.328097266061
0.593 1.5177065767285 -395.810390689332
0.607 2.8006589785832 -393.009731710749
0.637 6.12244897959184 -386.887282731157
0.635 -2.36220472440945 -389.249487455567
0.652 -0.306748466257669 -389.556235921824
0.662 2.41691842900302 -387.139317492821
0.645 6.66666666666667 -380.472650826155
0.632 6.32911392405063 -374.143536902104
0.629 6.51828298887122 -367.625253913233
0.61 -0.327868852459016 -367.953122765692
0.593 -8.26306913996627 -376.216191905658
0.634 -7.57097791798107 -383.787169823639
0.614 -4.23452768729642 -388.021697510936
0.597 -8.20770519262982 -396.229402703565
0.575 -8.52173913043478 -404.751141834
0.646 -9.90712074303406 -414.658262577034
0.657 -1.06544901065449 -415.723711587689
0.608 3.28947368421053 -412.434237903478
0.637 -1.41287284144427 -413.847110744922
0.624 -6.41025641025641 -420.257367155179
0.662 0.302114803625378 -419.955252351553
0.635 -9.29133858267716 -429.246590934231
0.615 -1.78861788617886 -431.035208820409
0.598 -1.00334448160535 -432.038553302015
0.587 -5.28109028960818 -437.319643591623
0.628 -3.18471337579618 -440.504356967419
0.638 -3.76175548589342 -444.266112453313
0.623 -1.4446227929374 -445.71073524625
0.649 1.69491525423729 -444.015819992013
0.671 -6.70640834575261 -450.722228337765
0.625 -4 -454.722228337765
0.616 0.649350649350649 -454.072877688415
0.625 -2.72 -456.792877688415
0.585 -5.2991452991453 -462.09202298756
0.586 -6.8259385665529 -468.917961554113
0.53 -7.92452830188679 -476.842489856
0.592 3.04054054054054 -473.801949315459
0.581 -6.71256454388984 -480.514513859349
0.616 0.649350649350649 -479.865163209998
0.582 -1.3745704467354 -481.239733656734
0.54 7.03703703703704 -474.202696619697
0.609 1.14942528735632 -473.05327133234
0.622 -0.643086816720257 -473.696358149061
0.555 1.98198198198198 -471.714376167079
0.592 2.7027027027027 -469.011673464376
0.605 -2.47933884297521 -471.491012307351
0.575 8.17391304347826 -463.317099263873
0.616 4.22077922077922 -459.096320043094
0.653 4.44104134762634 -454.655278695467
0.64 5.625 -449.030278695467
0.616 5.84415584415584 -443.186122851311
0.649 9.70724191063174 -433.47888094068
0.586 8.87372013651877 -424.605160804161
0.604 3.3112582781457 -421.293902526015
0.663 6.78733031674208 -414.506572209273
0.615 -8.94308943089431 -423.449661640168
0.641 8.26833073322933 -415.181330906938
0.613 -0.489396411092985 -415.670727318031
0.551 -3.44827586206897 -419.1190031801
0.602 7.64119601328904 -411.477807166811
0.596 1.34228187919463 -410.135525287616
0.623 8.18619582664527 -401.949329460971
0.596 -6.71140939597315 -408.660738856944
0.607 1.81219110378913 -406.848547753155
0.614 7.49185667752443 -399.356691075631
0.645 -2.01550387596899 -401.3721949516
0.613 -1.79445350734095 -403.166648458941
0.613 -3.09951060358891 -406.26615906253
0.618 2.58899676375405 -403.677162298776
0.669 1.34529147982063 -402.331870818955
0.639 -0.469483568075117 -402.80135438703
0.628 -1.91082802547771 -404.712182412508
0.572 -7.34265734265734 -412.054839755165
0.671 -0.14903129657228 -412.203871051737
0.624 4.16666666666667 -408.037204385071
0.611 -7.03764320785597 -415.074847592927
0.64 -6.5625 -421.637347592927
0.651 -1.38248847926267 -423.019836072189
0.624 -4.48717948717949 -427.507015559369
0.623 0.802568218298555 -426.70444734107
0.64 0 -426.70444734107
0.637 -0.156985871271586 -426.861433212342
0.647 -9.73724884080371 -436.598682053146
0.635 1.41732283464567 -435.1813592185
0.637 2.66875981161695 -432.512599406883
0.66 -6.96969696969697 -439.48229637658
0.65 -1.84615384615385 -441.328450222734
0.628 5.09554140127389 -436.23290882146
0.642 4.3613707165109 -431.871538104949
0.626 -2.23642172523962 -434.107959830189
0.635 -8.66141732283465 -442.769377153023
0.64 -0.625 -443.394377153023
0.64 -6.5625 -449.956877153023
0.611 7.69230769230769 -442.264569460716
0.662 -2.7190332326284 -444.983602693344
0.645 -4.8062015503876 -449.789804243732
0.618 -4.85436893203883 -454.64417317577
0.623 -1.76565008025682 -456.409823256027
0.65 -2.46153846153846 -458.871361717566
0.622 3.21543408360129 -455.655927633964
0.647 2.31839258114374 -453.337535052821
0.614 3.25732899022801 -450.080206062593
0.631 2.69413629160063 -447.386069770992
0.646 1.23839009287926 -446.147679678113
0.616 -2.92207792207792 -449.069757600191
0.597 -2.51256281407035 -451.582320414261
0.638 1.25391849529781 -450.328401918963
0.562 2.49110320284698 -447.837298716116
0.595 12.2689075630252 -435.568391153091
0.602 1.32890365448505 -434.239487498606
0.631 5.54675118858954 -428.692736310016
0.617 4.37601296596434 -424.316723344052
0.597 5.19262981574539 -419.124093528307
0.599 -0.500834724540901 -419.624928252848
0.593 6.57672849915683 -413.048199753691
0.609 2.79146141215107 -410.25673834154
0.608 5.59210526315789 -404.664633078382
0.602 7.30897009966777 -397.355662978714
0.581 4.64716006884682 -392.708502909867
0.569 10.0175746924429 -382.690928217424
0.602 3.65448504983389 -379.03644316759
0.634 10.7255520504732 -368.310891117117
0.642 4.98442367601246 -363.326467441105
0.643 9.79782270606532 -353.52864473504
0.618 6.47249190938511 -347.056152825654
0.648 -6.48148148148148 -353.537634307136
0.674 -8.30860534124629 -361.846239648382
0.658 -13.9817629179331 -375.828002566315
0.686 -6.70553935860058 -382.533541924916
0.587 -0.511073253833049 -383.044615178749
0.639 6.10328638497653 -376.941328793772
0.624 -6.73076923076923 -383.672098024542
0.598 -4.68227424749164 -388.354372272033
0.606 -3.63036303630363 -391.984735308337
0.579 -0.518134715025907 -392.502870023363
0.648 -11.7283950617284 -404.231265085091
0.648 -7.71604938271605 -411.947314467807
0.607 0.494233937397035 -411.45308053041
0.63 -7.3015873015873 -418.754667831998
0.64 -9.6875 -428.442167831998
0.617 -4.05186385737439 -432.494031689372
0.617 -5.3484602917342 -437.842491981106
0.6 0 -437.842491981106
0.636 1.57232704402516 -436.270164937081
0.637 -1.72684458398744 -437.997009521068
0.617 2.43111831442464 -435.565891206644
0.65 -1.53846153846154 -437.104352745105
0.64 5.625 -431.479352745105
0.647 2.31839258114374 -429.160960163962
0.616 -1.62337662337662 -430.784336787338
0.639 -2.03442879499218 -432.81876558233
0.65 -1.23076923076923 -434.0495348131
0.667 -7.64617691154423 -441.695711724644
0.67 -0.895522388059702 -442.591234112704
0.651 2.61136712749616 -439.979866985207
0.625 0.48 -439.499866985207
0.633 2.3696682464455 -437.130198738762
0.652 3.06748466257669 -434.062714076185
0.649 -4.77657935285054 -438.839293429036
0.66 -3.93939393939394 -442.77868736843
0.657 1.67427701674277 -441.104410351687
0.624 -2.88461538461538 -443.989025736302
0.655 7.78625954198473 -436.202766194318
0.663 4.67571644042232 -431.527049753895
0.623 -4.01284109149278 -435.539890845388
0.547 0.182815356489945 -435.357075488898
0.594 4.71380471380471 -430.643270775093
0.626 1.91693290734824 -428.726337867745
0.601 -2.82861896838602 -431.554956836131
0.627 6.85805422647528 -424.696902609656
0.598 4.68227424749164 -420.014628362164
0.583 -6.00343053173242 -426.018058893897
0.617 4.70016207455429 -421.317896819342
0.535 0.934579439252336 -420.38331738009
0.562 -2.13523131672598 -422.518548696816
0.602 7.30897009966777 -415.209578597148
0.608 -6.57894736842105 -421.788525965569
