Sample	Edge_num	Classification	Size	Coverage	Completeness	Contamination	GC	tRNA_genes	rRNA_genes	Class2	Filename
GAC8	1413	Sphingobium	3263168	6.94	93.43	0.94	59.63	 52	 3	Genus	1-T1_aug10-21+1413
GAC3	694	SBBG01	2874243	144.97	97.50	0.56	59.80	 46	 3	Genus	9-gac_march_02-20+694
GAC7	bin.595_13	JACQWY01	6320499	55.92	97.12	3.55	68.00	 46	 2	Genus	2-T4_may14-21+bin.595_13
GAC5	5304	Ferruginibacter sp017303335	4225704	16.99	98.28	0.00	48.94	 43	 3	Species	5-T2_may3-21+5304
GAC7	245	Gemmataceae	5702873	23.11	85.76	3.41	58.40	 48	 3	Family	2-T4_may14-21+245
GAC7	bin.732_1	JABWBZ01	4081707	22.92	94.38	1.10	45.63	 48	 3	Genus	2-T4_may14-21+bin.732_1
GAC3	5308	Pyrinomonadaceae	5068655	13.40	92.14	4.32	46.30	 75	 3	Family	9-gac_march_02-20+5308
GAC5	bin.222_2	VGXM01	3167848	14.64	63.69	0.00	67.76	 46	 3	Genus	5-T2_may3-21+bin.222_2
GAC7	397	JAGOHT01	2465175	20.85	92.59	0.44	59.67	 46	 2	Genus	2-T4_may14-21+397
GAC3	4050	Micavibrio_A	2064612	10.36	92.61	1.30	52.92	 40	 3	Genus	9-gac_march_02-20+4050
GAC7	11047	UBA2112	1186698	31.28	68.95	0.85	46.66	 42	 3	Genus	2-T4_may14-21+11047
GAC5	bin.353_1	CAADGL01	4366367	19.93	74.36	0.57	67.06	 51	 3	Genus	5-T2_may3-21+bin.353_1
GAC3	2150	RBG-16-40-8	3709368	38.04	98.21	0.89	46.81	 37	 3	Genus	9-gac_march_02-20+2150
GAC2	1115	SBBG01	2931509	18.67	92.39	0.40	59.05	 45	 3	Genus	3-T4_feb14-20+1115
GAC5	bin.531_1	Rugosibacter	2325461	72.51	88.07	0.00	62.09	 46	 6	Genus	5-T2_may3-21+bin.531_1
GAC3	11397	JAJYDF01	1708409	9.93	91.82	0.00	39.34	 46	 3	Family	9-gac_march_02-20+11397
GAC8	2304	SBBG01	2929374	48.18	98.47	0.52	58.89	 45	 3	Genus	1-T1_aug10-21+2304
GAC6	bin.472_3	Accumulibacter	5073061	25.69	98.29	0.00	61.74	 57	 5	Genus	4-T3_may7-21+bin.472_3
GAC7	bin.516_1	JAGOHT01	2465741	20.92	92.42	0.44	59.67	 46	 2	Genus	2-T4_may14-21+bin.516_1
GAC3	632	SBBG01	2935798	97.47	94.25	0.83	59.06	 45	 3	Genus	9-gac_march_02-20+632
GAC5	bin.229_2	LNEJ01	2889241	15.41	97.39	0.67	56.28	 49	 6	Genus	5-T2_may3-21+bin.229_2
GAC7	bin.1152_1	Accumulibacter	5072550	27.32	97.14	0.00	61.76	 57	 5	Genus	2-T4_may14-21+bin.1152_1
GAC1	466	CAKKSB01	3646691	46.76	98.14	1.42	60.94	 45	 3	Genus	7-T2_jan27-20+466
GAC7	bin.526_1	Sphingobium	3237686	21.06	98.16	0.94	59.65	 52	 2	Genus	2-T4_may14-21+bin.526_1
GAC4	bin.719_1	SpSt-539	4597035	176.96	90.52	0.00	66.18	 51	 3	Genus	6-T2_oct6-20+bin.719_1
GAC3	bin.670_11	JAGOEZ01	4230858	30.66	95.59	1.15	71.80	 50	 6	Genus	9-gac_march_02-20+bin.670_11
GAC3	bin.878_2	UBA9160	3863166	18.14	92.90	1.29	70.91	 48	 3	Family	9-gac_march_02-20+bin.878_2
GAC2	bin.547_3	UBA2386	6878936	13.02	88.00	1.14	68.86	 51	 6	Genus	3-T4_feb14-20+bin.547_3
GAC2	bin.666_1	UBA11222	3192619	17.00	95.61	0.43	57.35	 47	 3	Genus	3-T4_feb14-20+bin.666_1
GAC8	bin.279	JAGRAN01	2846655	13.69	82.46	0.00	52.05	 45	 3	Family	1-T1_aug10-21+bin.279
GAC4	bin.778_1	Manganitrophus morganii	4234704	120.39	97.67	3.64	56.29	 46	 3	Species	6-T2_oct6-20+bin.778_1
GAC2	bin.525_1	LNEJ01	3025777	12.50	96.56	0.91	56.35	 50	 6	Genus	3-T4_feb14-20+bin.525_1
GAC9	178	JAJFTU01	6097847	12.07	90.55	4.27	71.97	 50	 3	Genus	10-T3_apr21-22+178
GAC8	bin.944	OLB10 sp001567275	3083914	30.94	100.00	0.48	38.92	 40	 3	Species	1-T1_aug10-21+bin.944
GAC2	1852	UBA9160	3865706	17.52	89.84	1.29	70.90	 47	 3	Family	3-T4_feb14-20+1852
GAC6	bin.888_1	CAIWVZ01	7214747	11.65	93.11	3.41	67.50	 52	 3	Family	4-T3_may7-21+bin.888_1
GAC8	bin.1065	JAGNTT01	3091422	25.20	91.51	3.23	50.03	 47	 3	Genus	1-T1_aug10-21+bin.1065
GAC2	1038	Accumulibacter similis	5196176	36.84	98.93	0.03	65.83	 50	 6	Species	3-T4_feb14-20+1038
GAC0	4784	UBA9160	3817414	11.95	89.77	0.65	70.92	 47	 3	Family	8-carbon_granules4+4784
GAC6	bin.616_1	JACADY01	3204000	193.63	98.57	0.00	65.61	 47	 6	Genus	4-T3_may7-21+bin.616_1
GAC2	bin.405_1	JACADY01	3152158	12.53	93.92	0.00	65.65	 47	 5	Genus	3-T4_feb14-20+bin.405_1
GAC3	bin.914_3	UBA2386	6791239	19.33	91.98	2.27	68.89	 48	 6	Genus	9-gac_march_02-20+bin.914_3
GAC3	4180	Gemmata	6894943	11.29	86.33	2.33	57.34	 76	 3	Genus	9-gac_march_02-20+4180
GAC2	5322	CAKKSB01	3646663	528.53	97.87	1.42	60.93	 45	 3	Genus	3-T4_feb14-20+5322
GAC5	3791	JAGORM01	1279783	15.78	77.27	0.00	40.22	 44	 3	Genus	5-T2_may3-21+3791
GAC8	5562	CAADGL01	4367691	24.53	77.70	0.57	67.07	 51	 3	Genus	1-T1_aug10-21+5562
GAC6	3120	UBA2112	1186580	23.03	68.95	0.85	46.66	 42	 3	Genus	4-T3_may7-21+3120
GAC6	bin.867_1	UBA9219	1903747	38.04	94.76	0.44	50.00	 46	 3	Family	4-T3_may7-21+bin.867_1
GAC3	13560	UBA2112	1098779	16.29	64.25	0.00	50.06	 44	 3	Genus	9-gac_march_02-20+13560
GAC8	3901	JAFDVJ01	5415815	45.16	96.58	5.22	46.70	 70	 3	Genus	1-T1_aug10-21+3901
GAC5	3168	Accumulibacter	5073019	19.92	96.80	0.00	61.74	 56	 5	Genus	5-T2_may3-21+3168
GAC5	bin.182_6	JACADZ01	3035259	19.16	93.63	0.00	64.94	 45	 3	Genus	5-T2_may3-21+bin.182_6
